date,Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
7/26/2015,0,0,0,0,0,0,1,0,0,0,10181,1762,11943
7/27/2015,1,0,0,0,0,0,0,0,0.36,0,12167,2256,14423
7/28/2015,0,1,0,0,0,0,0,0,0,0,13585,2841,16426
7/29/2015,0,0,1,0,0,0,0,0,0,0,14391,3191,17582
7/30/2015,0,0,0,1,0,0,0,0,1.95,0,14454,3583,18037
7/31/2015,0,0,0,0,1,0,0,0,0,0,13813,3226,17039
8/1/2015,0,0,0,0,0,1,0,0,0,0,11599,2387,13986
8/2/2015,0,0,0,0,0,0,1,0,0,0,10223,2065,12288
8/3/2015,1,0,0,0,0,0,0,0,0,0,12118,2324,14442
8/4/2015,0,1,0,0,0,0,0,0,0.43,0,13685,2834,16519
8/5/2015,0,0,1,0,0,0,0,0,0,0,14104,3011,17115
8/6/2015,0,0,0,1,0,0,0,0,0,0,14277,3246,17523
8/7/2015,0,0,0,0,1,0,0,0,0,0,14025,3312,17337
8/8/2015,0,0,0,0,0,1,0,0,0,0,10684,2115,12799
8/9/2015,0,0,0,0,0,0,1,0,0,0,9510,1876,11386
8/10/2015,1,0,0,0,0,0,0,0,0,0,11456,2258,13714
8/11/2015,0,1,0,0,0,0,0,0,1.17,0,13190,3234,16424
8/12/2015,0,0,1,0,0,0,0,0,0,0,13247,2768,16015
8/13/2015,0,0,0,1,0,0,0,0,0,0,14034,3025,17059
8/14/2015,0,0,0,0,1,0,0,0,0,0,13291,3114,16405
8/15/2015,0,0,0,0,0,1,0,0,0,0,10479,2268,12747
8/16/2015,0,0,0,0,0,0,1,0,0,0,10072,1992,12064
8/17/2015,1,0,0,0,0,0,0,0,0,0,11473,2521,13994
8/18/2015,0,1,0,0,0,0,0,0,0.29,0,13168,2994,16162
8/19/2015,0,0,1,0,0,0,0,0,0,0,13885,3065,16950
8/20/2015,0,0,0,1,0,0,0,0,0.01,0,14657,3367,18024
8/21/2015,0,0,0,0,1,0,0,0,0.32,0,13307,3147,16454
8/22/2015,0,0,0,0,0,1,0,0,0,0,10966,2382,13348
8/23/2015,0,0,0,0,0,0,1,0,0,0,9514,2015,11529
8/24/2015,1,0,0,0,0,0,0,0,0,0,11131,2439,13570
8/25/2015,0,1,0,0,0,0,0,0,0,0,12623,2684,15307
8/26/2015,0,0,1,0,0,0,0,0,0,0,12751,2793,15544
8/27/2015,0,0,0,1,0,0,0,0,0,0,13244,3077,16321
8/28/2015,0,0,0,0,1,0,0,0,0,0,12915,3055,15970
8/29/2015,0,0,0,0,0,1,0,0,0,0,11205,2540,13745
8/30/2015,0,0,0,0,0,0,1,0,0.13,0,10190,2068,12258
8/31/2015,1,0,0,0,0,0,0,0,0,0,11489,2478,13967
9/1/2015,0,1,0,0,0,0,0,0,0,0,12815,2728,15543
9/2/2015,0,0,1,0,0,0,0,0,0,0,13522,2980,16502
9/3/2015,0,0,0,1,0,0,0,0,0,0,13947,3266,17213
9/4/2015,0,0,0,0,1,0,0,0,0,0,12552,3060,15612
9/5/2015,0,0,0,0,0,1,0,0,0,0,9497,2189,11686
9/6/2015,0,0,0,0,0,0,1,0,0,0,8413,1953,10366
9/7/2015,1,0,0,0,0,0,0,0,0,1,8301,1679,9980
9/8/2015,0,1,0,0,0,0,0,0,0,0,13090,2859,15949
9/9/2015,0,0,1,0,0,0,0,0,0,0,14023,3587,17610
9/10/2015,0,0,0,1,0,0,0,0,1.58,0,13742,5018,18760
9/11/2015,0,0,0,0,1,0,0,0,0,0,13588,3842,17430
9/12/2015,0,0,0,0,0,1,0,0,0.29,0,13180,3601,16781
9/13/2015,0,0,0,0,0,0,1,0,0.04,0,10821,2432,13253
9/14/2015,1,0,0,0,0,0,0,0,0,0,11113,2420,13533
9/15/2015,0,1,0,0,0,0,0,0,0,0,12826,2851,15677
9/16/2015,0,0,1,0,0,0,0,0,0,0,13288,3461,16749
9/17/2015,0,0,0,1,0,0,0,0,0,0,14345,3729,18074
9/18/2015,0,0,0,0,1,0,0,0,0,0,14419,3921,18340
9/19/2015,0,0,0,0,0,1,0,0,0,0,13565,3223,16788
9/20/2015,0,0,0,0,0,0,1,0,0,0,11326,2475,13801
9/21/2015,1,0,0,0,0,0,0,0,0,0,11771,2580,14351
9/22/2015,0,1,0,0,0,0,0,0,0,0,12502,2687,15189
9/23/2015,0,0,1,0,0,0,0,0,0,0,11781,2334,14115
9/24/2015,0,0,0,1,0,0,0,0,0,0,10692,2595,13287
9/25/2015,0,0,0,0,1,0,0,0,0,0,12175,2825,15000
9/26/2015,0,0,0,0,0,1,0,0,0,0,12619,3094,15713
9/27/2015,0,0,0,0,0,0,1,0,0,0,10519,2309,12828
9/28/2015,1,0,0,0,0,0,0,0,0,0,9041,2168,11209
9/29/2015,0,1,0,0,0,0,0,0,0.11,0,10887,2806,13693
9/30/2015,0,0,1,0,0,0,0,0,1.26,0,11926,3216,15142
10/1/2015,0,0,0,1,0,0,0,0,0.09,0,12435,3859,16294
10/2/2015,0,0,0,0,1,0,0,0,1.08,0,12760,4843,17603
10/3/2015,0,0,0,0,0,1,0,0,0.35,0,12410,3683,16093
10/4/2015,0,0,0,0,0,0,1,0,0,0,9953,2384,12337
10/5/2015,1,0,0,0,0,0,0,0,0,0,11418,2348,13766
10/6/2015,0,1,0,0,0,0,0,0,0,0,12581,2797,15378
10/7/2015,0,0,1,0,0,0,0,0,0,0,13047,3109,16156
10/8/2015,0,0,0,1,0,0,0,0,0,0,13742,3622,17364
10/9/2015,0,0,0,0,1,0,0,0,0.89,0,13292,3911,17203
10/10/2015,0,0,0,0,0,1,0,0,0,0,13207,3497,16704
10/11/2015,0,0,0,0,0,0,1,0,0,0,10847,2584,13431
10/12/2015,1,0,0,0,0,0,0,0,0,0,10612,2037,12649
10/13/2015,0,1,0,0,0,0,0,0,0.01,0,13277,2859,16136
10/14/2015,0,0,1,0,0,0,0,0,0,0,13049,3192,16241
10/15/2015,0,0,0,1,0,0,0,0,0,0,13942,3677,17619
10/16/2015,0,0,0,0,1,0,0,0,0,0,14219,3931,18150
10/17/2015,0,0,0,0,0,1,0,0,0,0,13374,3311,16685
10/18/2015,0,0,0,0,0,0,1,0,0,0,11294,2598,13892
10/19/2015,1,0,0,0,0,0,0,0,0,0,12015,2771,14786
10/20/2015,0,1,0,0,0,0,0,0,0,0,12702,2967,15669
10/21/2015,0,0,1,0,0,0,0,0,0,0,12975,3094,16069
10/22/2015,0,0,0,1,0,0,0,0,0,0,13932,3538,17470
10/23/2015,0,0,0,0,1,0,0,0,0,0,13910,3873,17783
