Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
1,0,0,0,0,0,0,0,0.00660066,0,0.690046296,0.407701019,0.584253968
0,1,0,0,0,0,0,0,0,0,0.819328704,0.473763684,0.688507937
0,0,1,0,0,0,0,0,0,0,0.884027778,0.524348811,0.74952381
0,0,0,1,0,0,0,0,0,0,0.898148148,0.563231408,0.776888889
0,0,0,0,1,0,0,0,0,0,0.690393519,0.486221216,0.624063492
0,0,0,0,0,1,0,0,0.161716172,0,0.366550926,0.338870014,0.372063492
0,0,0,0,0,0,1,0,0.00330033,0,0.145833333,0.120926136,0.141015873
1,0,0,0,0,0,0,0,0.075907591,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0.343518519,0.204605512,0.29168254
0,0,1,0,0,0,0,0,0,0,0.49525463,0.337989178,0.442222222
0,0,0,1,0,0,0,0,0,0,0.55150463,0.477035359,0.543238095
0,0,0,0,1,0,0,0,0,0,0.528009259,0.511136278,0.547555556
0,0,0,0,0,1,0,0.152173913,0.01650165,0,0.348726852,0.416383541,0.401396825
0,0,0,0,0,0,1,0,0,0,0.364814815,0.586888134,0.496253968
